class_id,class_name,train_count,valid_count,test_count,total_count
18,P.127,799,249,193,1241
20,P.130,518,171,127,816
21,P.131a,416,155,131,702
52,W.224,153,66,48,267
1,P.102,167,50,50,267
27,R.302a,152,49,48,249
45,W.207b,146,46,40,232
57,W.245a,102,37,20,159
11,P.117,95,27,26,148
7,P.106b,78,23,9,110
35,W.201a,61,30,15,106
13,P.123b,63,18,18,99
33,R.434,57,17,19,93
36,W.201b,53,16,16,85
4,P.103c,53,18,13,84
6,P.106a,55,19,9,83
34,S.509a,49,19,14,82
14,P.124a,39,16,15,70
53,W.225,42,15,11,68
44,W.207a,33,13,14,60
46,W.207c,36,17,7,60
30,R.407a,37,11,9,57
29,R.303,26,11,17,54
2,P.103a,34,10,8,52
41,W.205a,31,12,9,52
43,W.205d,24,15,8,47
31,R.409,26,11,3,40
5,P.104,24,10,5,39
49,W.210,22,6,3,31
28,R.302b,19,6,6,31
37,W.202a,21,7,3,31
38,W.202b,15,7,7,29
47,W.208,15,9,5,29
55,W.233,15,6,3,24
24,R.301c,17,3,3,23
39,W.203b,17,3,3,23
40,W.203c,13,7,2,22
9,P.112,10,4,5,19
0,DP.135,13,4,2,19
10,P.115,11,3,4,18
54,W.227,13,5,0,18
25,R.301d,12,3,3,18
48,W.209,12,3,3,18
26,R.301e,10,5,1,16
8,P.107a,15,0,0,15
22,P.137,12,3,0,15
12,P.123a,8,4,1,13
16,P.124c,5,5,2,12
3,P.103b,9,1,1,11
32,R.425,6,1,1,8
50,W.219,2,2,3,7
15,P.124b,6,0,1,7
42,W.205b,4,1,0,5
19,P.128,2,0,2,4
17,P.125,0,1,1,2
51,W.221b,0,1,1,2
56,W.235,1,0,0,1
23,P.245a,1,0,0,1
